,horsepower,engine,energie,boite_de_vitesse,porte,couleur,premiere_main,departement,age,Finition
89,75.0,1.2,Essence,meca,5.0,noir,non,16,801,Limited
90,100.0,1.0,Essence,meca,5.0,rouge,oui,51,466,Zen
91,100.0,1.2,Essence,meca,3.0,bleu,non,41,4777,Intens
92,115.0,1.5,Diesel,meca,5.0,bleu,non,33,306,Intens
93,75.0,1.5,Diesel,meca,5.0,gris,non,69,881,Business
94,90.0,1.5,Diesel,meca,5.0,gris,non,69,641,Business
95,90.0,1.5,Diesel,meca,5.0,blanc,non,35,1007,autre
96,90.0,1.5,Diesel,meca,5.0,gris,oui,59,460,Intens
97,90.0,0.9,Essence,meca,5.0,gris,oui,6,1018,Intens
98,90.0,0.9,Essence,meca,5.0,rouge,non,77,515,Intens
99,100.0,1.2,Essence,meca,5.0,noir,non,34,3398,autre
100,90.0,0.9,Essence,meca,5.0,bleu,non,64,467,Business
101,90.0,0.9,Essence,meca,5.0,gris,oui,33,1022,Business
102,90.0,0.9,Essence,meca,5.0,bleu,non,84,655,Business
103,75.0,1.2,Essence,meca,5.0,blanc,oui,91,4781,autre
104,110.0,1.6,Essence,meca,5.0,gris,non,34,5009,Expression
105,75.0,1.2,Essence,meca,3.0,blanc,non,95,2807,autre
106,85.0,1.5,Diesel,meca,5.0,noir,non,67,3875,autre
107,75.0,1.2,Essence,meca,3.0,gris,non,95,3166,Intens
108,100.0,1.2,Essence,meca,5.0,noir,non,94,4294,autre
109,100.0,1.0,Essence,meca,5.0,gris,non,77,224,Intens
110,90.0,0.9,Essence,meca,5.0,blanc,non,51,57,autre
111,90.0,0.9,Essence,meca,5.0,gris,oui,91,1370,Zen
112,75.0,1.2,Essence,meca,5.0,rouge,non,66,1994,Limited
113,75.0,1.2,Essence,meca,5.0,gris,non,72,1032,Limited
114,120.0,1.2,Essence,meca,5.0,noir,non,21,1145,autre
115,90.0,1.5,Diesel,meca,5.0,gris,non,35,1407,Intens
116,75.0,1.5,Diesel,meca,5.0,gris,oui,87,1392,Business
117,75.0,1.5,Diesel,meca,5.0,blanc,oui,65,1200,Business
118,90.0,1.5,Diesel,meca,5.0,noir,non,54,2878,Expression
119,90.0,0.9,Essence,meca,5.0,bleu,non,10,717,Business
120,70.0,1.5,Diesel,meca,5.0,bleu,non,95,3679,autre
121,75.0,1.2,Essence,meca,5.0,gris,non,91,3530,Expression
122,90.0,0.9,Essence,meca,5.0,rouge,non,64,498,Business
123,90.0,0.9,Essence,meca,5.0,rouge,oui,35,318,Limited
124,75.0,1.2,Essence,meca,5.0,blanc,non,62,2629,autre
125,90.0,0.9,Essence,meca,5.0,blanc,non,84,980,Intens
126,85.0,1.5,Diesel,meca,5.0,gris,non,30,4740,autre
127,90.0,0.9,Essence,meca,5.0,gris,oui,83,1250,Zen
128,75.0,1.2,Essence,meca,5.0,noir,oui,13,637,Zen
129,120.0,1.2,Essence,meca,5.0,noir,oui,69,1321,Intens
130,90.0,0.9,Essence,meca,5.0,gris,oui,75,425,Business
131,90.0,0.9,Essence,meca,5.0,gris,oui,6,1024,Intens
132,75.0,1.5,Diesel,meca,5.0,rouge,non,30,609,Business
